ID,TITLE,PUBLISHER,TIMESTAMP
1,"Fed official says weak data caused by weather, should not slow taper",Los Angeles Times,1394470370698
2,Fed's Charles Plosser sees high bar for change in pace of tapering,Livemint,1394470371207
3,US open: Stocks fall after Fed official hints at accelerated tapering,IFA Magazine,1394470371550
4,"Fed risks falling 'behind the curve', Charles Plosser says",IFA Magazine,1394470371793
5,Fed's Plosser: Nasty Weather Has Curbed Job Growth,Moneynews,1394470372027
6,Plosser: Fed May Have to Accelerate Tapering Pace,NASDAQ,1394470372212
7,Fed's Plosser: Taper pace may be too slow,MarketWatch,1394470372405
8,Fed's Plosser expects US unemployment to fall to 6.2% by the end of 2014,FXstreet.com,1394470372615
9,US jobs growth last month hit by weather:Fed President Charles Plosser,Economic Times,1394470372792
10,ECB unlikely to end sterilisation of SMP purchases - traders,Interactive Investor,1394470501265
11,ECB unlikely to end sterilization of SMP purchases: traders,Reuters India,1394470501410
12,EU's half-baked bank union could work,Reuters UK \(blog\),1394470501587
13,Europe reaches crunch point on banking union,Reuters,1394470501755
14,ECB FOCUS-Stronger euro drowns out ECB's message to keep rates low for  ...,Reuters,1394470501948
15,EU aims for deal on tackling failing banks,Oman Daily Observer,1394470502141
16,Forex - Pound drops to one-month lows against euro,NASDAQ,1394470502316
17,Noyer Says Strong Euro Creates Unwarranted Economic Pressure,San Francisco Chronicle,1394470502543
18,"EU Week Ahead March 10-14: Bank Resolution, Transparency, Ukraine",Wall Street Journal \(blog\),1394470502744
19,ECB member Noyer is 'very open to all kinds of tools',IFA Magazine,1394470502946
20,"Euro Anxieties Wane as Bunds Top Treasuries, Spain Debt Rallies",Businessweek,1394470503148
21,Noyer Says Strong Euro Creates Unwarranted Economic Pressure (1),Businessweek,1394470503366
22,Noyer Says Stronger Euro Creates Unwarranted Pressure on Economy,San Francisco Chronicle,1394470503543
23,Bad loan triggers key feature in ECB bank test announcement: sources,GlobalPost,1394470503726
24,"China's trade deficit and structural worries in Europe, among the main issues",FXstreet.com,1394470503887
25,10 Things You Need To Know This Morning,Business Insider,1394470504080
26,ECB's Noyer not Happy With Euro Strength -- Update,Wall Street Journal,1394470504274
27,Eurozone banks' sovereign exposure hits new high,Kathimerini,1394470504506
28,ECB to reveal bad loan hurdles for euro zone bank test,Irish Times,1394470504683
29,Forex Market: EUR/USD retreats from 2-1/2-year highs as stronger euro seen  ...,Binary Tribune,1394470504893
30,REFILE-Bad loan triggers key feature in ECB bank test announcement- sources,Reuters,1394470505070
31,UPDATE 1-ECB to reveal bad loan hurdles for euro zone bank test -sources,Reuters,1394470505314
32,ECB to reveal bad loan hurdles for euro zone bank test - sources,euronews,1394470505541
33,ECB requires tougher call on bad loan definition,IFA Magazine,1394470505699
34,ECB to reveal bad loan hurdles for bank tests?,RTE.ie,1394470505885
35,10 Things You Need To Know Before The Opening Bell,Businessinsider India,1394470506062
36,Central banks must contain threats from low prices: ECB's Noyer,Reuters,1394470506238
37,UPDATE 1-Central banks must contain threat from low prices -Noyer,Reuters,1394470506431
38,ECB's Noyer says 'not happy' with euro's rise,Reuters,1394470506642
39,ECB's Noyer: Low inflation may hamper adjustment,MarketWatch,1394470506843
40,ECB's Christian Noyer says 'not happy' with euro's rise,Economic Times,1394470507053
41,Sterling at one-month low as ECB policy stance lifts euro,Economic Times,1394470507272
42,EU aims for deal on tackling failing banks next week,MSN Money,1394470507481
43,Failing banks focus of EU talks,Irish Examiner,1394470507666
44,Business growth in euro zone rises to 32-month high,Oman Daily Observer,1394470507843
45,Poking the eurozone bear,European Voice,1394470508027
46,ECB Unlocks Door for Further Euro Strength - Will Data Allow?,DailyFX,1394470508177
47,Omega's Cooperman says eBay should spin off portion of PayPal: CNBC,Chicago Tribune,1394470920294
48,"EBay, Icahn talk smack",Seattle Post Intelligencer \(blog\),1394470920473
49,Both ways,Business Standard,1394470920633
50,Why eBay Spinning Off Paypal Makes Sense,DailyFinance,1394470920827
51,Carl Icahn Rift Hurts eBay (EBAY),TheStreet.com,1394470921011
52,EBay rejects Icahn slate of directors,News Sentinel,1394470921171
53,CARL ICAHN: eBay Shareholders Lost $4 Billion Because Of The CEO's  ...,Businessinsider India,1394470921323
54,Ebay to Shareholders: Vote Against Icahn Nominees,Fox Business,1394470921533
